"Concise description of the commitment","Who made the commitment / Organisation linked to it","Amount (if exists)","Timeline (if documented)","Exact quotes","Reasoning"
"Public Infrastructure Investment","Government of South Africa","R1 trillion","Over three years","'Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.'","To drive growth, productivity, and job creation."
"Water and Sanitation Infrastructure","Government of South Africa","R156 billion","Over the next three years","'We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.'","To ensure long-term water security and address systemic failures."
"Renewable Energy Supply Target","Government of South Africa","N/A","By 2030","'By 2030, more than 40% of our energy supply will come from cheap, clean and renewable energy sources.'","To ensure long-term energy security and drive down costs."
"SME Funding and Guarantees","Government of South Africa","R2.5 billion (funding) / R1 billion (guarantees)","This year","'This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.'","To support small businesses owned by women and youth and create jobs."
"New Investment Target","Government of South Africa","R2 trillion","Next five years","'We have now set ourselves a target of raising R2 trillion in new investments over the next five years.'","To build a more inclusive economy and sustain growth."
"Foot-and-Mouth Disease Vaccination","State / Department of Agriculture","28 million vaccines","Next 12 months","'We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.'","To address the national disaster and economic damage caused by the outbreak."
"Employment Equity for Persons with Disabilities","Public Service / Government","7% target","By 2030","'...increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030...'","To ensure inclusive employment and that no one is left behind."
"District Six Restoration (Phase 4)","Government of South Africa","R500 million","Phase 4 (Ongoing)","'With R500 million allocated to this work, we are proceeding with Phase 4 of construction.'","To redress the injustices of the past and build cohesive communities."
"HIV Prevention (Lenacapavir Rollout)","Government of South Africa","N/A","Ongoing/Massive rollout","'...we will be undertaking a massive rollout of Lenacapavir, a six-monthly injection that has proven highly effective...'","To prevent and ultimately eliminate HIV transmission."
"Digital Infrastructure Investment","Digital Infrastructure Sector","R50 billion","Next three years","'...more than R50 billion of investment expected over the next three years.'","To grow the services sector and improve digital technology."
"End Child Stunting","Government of South Africa","N/A","By 2030","'This year, we will embark on a mission to end child stunting by 2030...'","To ensure children's health, growth, and ability to learn."
"New Energy Vehicles Tax Deduction","National Government","150% tax deduction","From March this year","'From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles...'","To support local production of batteries and green growth."
"Labour Inspector Hiring","Department of Labour / SAPS / Home Affairs","10,000 inspectors","This year","'To tighten enforcement, we will hire an additional 10 000 labour inspectors this year.'","To crack down on violations of immigration and labour laws."
"Digital ID Launch","Department of Home Affairs (DHA)","N/A","This year","'This year, the DHA will launch a Digital ID to enable safe and secure use of digital services...'","To harness digital transformation for inclusion and effective service delivery."
"Establishment of State Property Company","Government of South Africa","N/A","This year","'This year, we will begin work to establish a professional State Property Company...'","To transform state-owned buildings and land into engines of growth."
"Independent Transmission Projects","Government (NECC task team)","N/A","Commence this year","'In addition, this year, we will commence the first round of independent transmission projects...'","To enable private investment and expand the national grid."
"Eradication of Load Reduction","Government of South Africa","N/A","By next year","'...with the objective of eradicating load reduction by next year.'","To address transformer overloading and equipment failure."
